"Tabela 3939 - Efetivo dos rebanhos, por tipo de rebanho"
"Variável - Efetivo dos rebanhos (Cabeças)"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Ano x Tipo de rebanho"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"2011";"2012";"2013";"2014";"2015";"2016";"2017"
"Nível";"Cód.";"Brasil, Grande Região, Unidade da Federação, Município, Mesorregião Geográfica e Microrregião Geográfica";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino";"Bovino"
"BR";"1";"Brasil";"212815311";"211279082";"211764292";"212366132";"215220508";"218199581";"214899796"
"GR";"1";"Norte";"43238310";"43815346";"44705617";"45826142";"47175989";"47983190";"48471454"
"GR";"2";"Nordeste";"29585933";"28244899";"28958676";"29350651";"29092184";"28402484";"27736607"
"GR";"3";"Sudeste";"39335644";"39206257";"39341429";"38530737";"38812076";"39123700";"37529834"
"GR";"4";"Sul";"27993205";"27627551";"27634241";"27424461";"27434523";"27577786";"27033684"
"GR";"5";"Centro-Oeste";"72662219";"72385029";"71124329";"71234141";"72705736";"75112421";"74128217"
"UF";"11";"Rondônia";"12182259";"12218437";"12329971";"12744326";"13397970";"13682200";"14091378"
"UF";"12";"Acre";"2549497";"2634467";"2697489";"2799673";"2916207";"2998969";"2858419"
"UF";"13";"Amazonas";"1439597";"1445739";"1470537";"1405208";"1293325";"1315821";"1343574"
"UF";"14";"Roraima";"651511";"686491";"747045";"735962";"794783";"780877";"787318"
"UF";"15";"Pará";"18262547";"18605051";"19165028";"19911217";"20271618";"20476783";"20585367"
"UF";"16";"Amapá";"127499";"142825";"154967";"167529";"89682";"76379";"66921"
"UF";"17";"Tocantins";"8025400";"8082336";"8140580";"8062227";"8412404";"8652161";"8738477"
"UF";"21";"Maranhão";"7264106";"7490942";"7611324";"7758352";"7643128";"7653870";"7687695"
"UF";"22";"Piauí";"1688024";"1689926";"1666107";"1660099";"1649549";"1639856";"1625006"
"UF";"23";"Ceará";"2614604";"2714713";"2591067";"2597139";"2516197";"2426408";"2259169"
"UF";"24";"Rio Grande do Norte";"1047797";"858211";"914777";"972816";"918952";"840847";"870000"
"UF";"25";"Paraíba";"1354268";"967067";"1048824";"1145943";"1170803";"1187981";"1202781"
"UF";"26";"Pernambuco";"2502156";"1895642";"1823230";"1920075";"1948357";"1895185";"1790030"
"UF";"27";"Alagoas";"1268304";"1221266";"1251723";"1253121";"1255696";"1198798";"1196991"
"UF";"28";"Sergipe";"1178771";"1156157";"1223215";"1218972";"1231130";"1196248";"1067121"
"UF";"29";"Bahia";"10667903";"10250975";"10828409";"10824134";"10758372";"10363291";"10037814"
"UF";"31";"Minas Gerais";"23907915";"23965914";"24201256";"23707042";"23768959";"23637803";"21950446"
"UF";"32";"Espírito Santo";"2223262";"2285345";"2313445";"2295624";"2223531";"2044771";"1937604"
"UF";"33";"Rio de Janeiro";"2179671";"2197615";"2339978";"2379648";"2351451";"2409718";"2531239"
"UF";"34";"Guanabara";"...";"...";"...";"...";"...";"...";"..."
"UF";"35";"São Paulo";"11024796";"10757383";"10486750";"10148423";"10468135";"11031408";"11110545"
"UF";"41";"Paraná";"9475676";"9413937";"9395313";"9181577";"9314908";"9487999";"9370139"
"UF";"42";"Santa Catarina";"4039217";"4072960";"4201561";"4285931";"4382299";"4499505";"4302861"
"UF";"43";"Rio Grande do Sul";"14478312";"14140654";"14037367";"13956953";"13737316";"13590282";"13360684"
"UF";"50";"Mato Grosso do Sul";"21553851";"21498382";"21047274";"21003830";"21357398";"21800990";"21474693"
"UF";"51";"Mato Grosso";"29265718";"28740802";"28395205";"28592183";"29364042";"30296096";"29725378"
"UF";"52";"Goiás";"21744650";"22045776";"21580398";"21538072";"21887720";"22919070";"22835005"
"UF";"53";"Distrito Federal";"98000";"100069";"101452";"100056";"96576";"96265";"93141"
"MU";"1100015";"Alta Floresta D'Oeste (RO)";"365538";"372731";"386456";"391388";"407890";"403973";"408765"
"MU";"1100023";"Ariquemes (RO)";"446471";"442851";"427419";"431871";"455731";"449108";"477322"
